,customer_id,avg_monthly_international_charges,avg_monthly_download_in_gb,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_international_charges,total_revenue
0,8070f82c-0fd5-447d-af80-722f9e80ec11,6.34,28,50.2,109.25,0.0,10.0,12.68,
1,808e58b1-fa33-4794-97c6-0945a84d8bcf,49.0,23,95.7,1184.0,0.0,0.0,,
2,ed410e66-1d0a-4f14-af27-e2fd2d1ce56b,30.75,3,114.05,8468.2,0.0,0.0,2214.0,10682.2
3,236dab4c-b494-4eab-84cf-1a29a84c3707,0.0,28,41.95,2965.75,0.0,0.0,0.0,2965.75
4,4f55959e-6f73-4c9e-9b8b-4abb584a0e31,41.78,0,19.3,228.75,0.0,0.0,501.36,
5,4cb0940f-ddad-4e76-b9a6-6fc5d50344b8,43.11,2,87.7,1725.95,0.0,0.0,819.09,2545.04
6,453a806f-a904-414b-b7d2-e7e27e1d2f54,36.81,16,86.25,181.65,0.0,0.0,73.62,
7,218749e6-2975-41f7-a3e1-ab5f2ab0f64f,16.22,12,104.75,4323.45,0.0,0.0,681.24,5004.69
8,98cf990e-9a1f-4851-880f-fb872971c746,5.93,19,106.5,7397.0,0.0,0.0,,
9,9bd75358-0862-44a6-bcba-14b6ac34edf4,44.01,17,70.85,4738.85,0.0,0.0,2904.66,7643.51
10,5637bf41-557c-442e-b51f-3d4b589cc0fb,21.23,0,19.35,1240.8,0.0,0.0,1401.18,2641.98
11,15a02940-a321-49b4-9481-ef166dbf0877,37.01,29,69.65,921.4,0.0,0.0,518.14,1439.54
12,9b080584-6203-4071-8113-acb140377ac0,17.56,27,74.55,622.9,33.25,0.0,158.04,747.69
13,c379c66e-9454-4715-af1d-9c479173444f,36.55,20,96.6,6424.25,0.0,0.0,2412.3,
14,c34105b9-7942-4ba1-aa8d-7a990b5ff495,0.0,30,33.6,550.35,0.0,0.0,0.0,550.35
15,c073ddf0-8d14-46dd-a790-bc4c35589d87,1.53,6,55.25,1715.65,0.0,10.0,47.43,1773.08
16,ff50b377-d8fc-4f5a-9fb8-2757c724d1e5,0.0,28,54.65,3632.0,46.75,0.0,0.0,3585.25
17,70ad1a57-f3bf-45d9-9d0c-361ebb4dc835,1.85,22,73.8,704.3,0.0,50.0,,770.95
