,customer_id,nps,cltv,reason
0,70f18737-5835-4639-be44-f1a8c6604490,4,2056,
1,206e8726-2743-4739-8f2f-758e30256314,3,2916,
2,40da1c87-0650-4378-b8d7-0a49cb21085c,4,5248,
3,4e28bb69-cee2-4fdf-8831-28935bb5e9b6,3,4607,
4,39c9339b-c22b-4bf2-8c73-deb7b6e02de1,4,3030,
5,ec8f321f-2bf4-4fe3-b6eb-0afaf27fabba,3,4469,
6,861d3cfa-1a39-40e1-8f6b-4d6afb5eb67f,4,6308,
7,1727632f-5e0d-4711-8c3f-55450f5d9665,4,4297,
8,02a5e1f8-92b7-43ff-a732-96dead9f3a6f,5,5447,
9,ed5ef274-0035-4755-9d94-f14febd4ecf8,3,4183,Competitor offered more data
10,8a6efee6-23ad-4fbe-b78b-658214840b9d,4,5258,
11,169742ea-6286-482d-86a2-63ef86412d7a,5,4889,
12,27a73ffd-313e-4d5b-a0d4-fb34be10cbe5,4,3949,
13,f218c56f-5463-482f-a411-a8a80ef3970d,4,6015,
14,319477d0-6752-46d1-b19c-d02626e67547,3,4572,
15,e0068ddd-2648-446b-88e9-54888605a68e,5,4577,
16,e05560fb-42b5-4860-9123-eec9cabda119,1,4327,Long distance charges
17,f3733fff-a752-44f6-959f-8fb5d47fd702,4,5740,
18,ca038d99-c160-4e6f-9d18-af9aefb6b0ae,3,5521,
19,65d776b0-f2bd-4983-af0e-458b993840a5,3,4909,
20,1a568238-6c13-433b-8e9a-d9c10127dc19,3,4962,
21,09d3e135-ed2c-4a62-92f3-374c20a434b5,4,3503,
22,e8395ceb-cb5f-4a78-9277-03072d62a97c,3,5679,Competitor offered higher download speeds
23,4f137f8a-334e-4913-8411-a056e360ade0,3,4501,
24,78bb0512-a63d-4a64-b779-ef4db21d665f,4,2524,
25,9644378b-2b16-4d28-9ce6-945a95f01ae5,4,4630,
26,48d1d9b8-4b81-419e-820b-36de1bb7bfc8,4,4747,
27,52ccb3b7-b566-4c0e-a7a8-f216760552ea,5,4477,
28,eb6a08bb-de89-48fd-98c8-2d08558dba35,4,3068,
29,9042452b-9a58-4c2a-aa3b-5157d4fbfe51,4,5703,
30,ab933659-3781-4cb5-a42d-cc890bc0c02f,3,4024,
31,a75b8d0a-2c62-4cc4-b36c-4ccf4944efb0,4,2640,
32,f546c225-c004-44a1-858a-d018071b7823,4,3875,
33,0944b135-d836-4987-88a3-970887f02360,5,5193,
34,873eee88-ea04-4e22-8813-631a8a80a687,5,5728,
35,97b5e39d-6181-4d43-adbb-aaa30e29e20a,3,3539,
36,f22fbdb1-6965-45aa-80ff-b02b518a1aa6,3,4633,Attitude of service provider
37,c657e8ea-dfab-4bbc-bb2b-894813165494,2,6204,Long distance charges
38,62726511-8beb-434c-bbcd-1baac2031861,2,3486,Network reliability
39,ea5f05c5-b965-4f92-a055-84380f490f2e,1,5030,Competitor offered more data
40,32c929a8-bc9d-455e-9374-347d03bc5c71,5,5870,
41,101625d7-226b-40e8-8d5f-677feb44e472,3,4193,Poor expertise of online support
42,b4a13731-c4e4-468f-8266-2e32daefea7e,3,5942,
43,4921409b-ad6d-4197-8faf-343d90472afe,2,3684,Attitude of service provider
44,fdb5258c-396f-478a-8a60-cfc32efd22b0,4,5397,
45,b43d2801-27d6-471d-a9ab-5da6d65ee16c,3,5687,
46,7b985909-6dd1-41cf-9462-95f26d516c03,4,5478,
47,d105df3f-470e-4572-9144-d95a82ef0f69,1,2072,Competitor made better offer
48,bd2e1c24-32ce-444b-a990-121d214b6661,4,5137,
49,fe2b45e2-fd5f-41a2-a178-8e6bb483ff89,1,6216,Competitor had better devices
50,4677645c-a72c-47e3-8a31-b2dbdaeb6110,3,5829,
51,119271ea-245e-4bfa-9c8e-34a791da362d,4,4566,
52,6e6016fd-5e35-4de4-9b42-38a4048dbeed,5,4643,
53,c5cc74a0-380d-4baa-b16e-f4f44e01aa49,1,2933,Attitude of support person
54,01af38bb-30c4-445d-8629-e73ee0753945,4,5280,
55,043d3912-ccea-4adb-a8f0-d47764213edc,5,5980,
56,7bc3425c-5f84-4b48-9115-c5f15b9b7e0e,5,4131,
57,960881f2-eac3-4d37-8c88-22df54abdd3b,3,2047,
58,6e840470-a43e-4fff-980d-df419b0865a6,4,6311,
59,91020446-498b-4097-9876-3bc998ef249e,3,3654,
60,2d8da302-e9de-4f96-a868-5c65d848984d,5,5587,
61,5677bc03-bb8d-4143-8e73-c72543e7ffcb,4,4193,
62,bba94969-1bb6-4bef-baf0-638aafd7b601,4,3277,
63,f0ed3ddc-cb50-41b4-b446-51e88325158a,4,4080,
64,79fed25d-b771-408b-8ac1-51eb02ac81af,4,4166,
65,1a9b67e4-d3f4-49d7-b7b5-c1fca2cd7aa8,1,3766,Competitor had better devices
